,blast,rmsd
458,6fgy_ligand_5,29.24465446437589
459,1a0h_ligand_1,22.026676682823837
460,1b3k_ligand_8,66.33594734293479
461,4w5b_ligand_5,35.24321374222277
462,3qyw_ligand_2,26.00587601018552
463,1xj7_ligand_6,5.861091511683923
464,1vie_ligand_7,16.833720361227343
465,1le2_ligand_1,19.2950287728427
466,6l2p_ligand_7,51.148928583326374
467,5hoa_ligand_9,29.49319176957212
468,4bqh_ligand_6,22.850275698150373
469,4ffs_ligand_6,22.130486668721147
470,1x70_ligand_9,60.84877415832983
471,1v48_ligand_2,31.805511944268982
472,4u4l_ligand_1,63.237417117139266
473,5wh5_ligand_7,45.414120873324954
474,1lw0_ligand_4,29.74954388653955
475,4b8y_ligand_1,31.1602867608362
476,6qbg_ligand_7,21.90699859073683
477,7c2w_ligand_7,48.09574488292857
478,7dii_ligand_2,58.76840812537728
479,4dgx_ligand_6,54.763771736953466
480,6enb_ligand_1,32.18604207972108
481,5k9v_ligand_7,31.523208076408903
482,2byz_ligand_8,24.411724655719567
483,1ijr_ligand_3,24.7496171889587
484,3o33_ligand_4,50.025131086049846
485,1v2s_ligand_7,28.14488784397621
486,1j5o_ligand_4,48.90370209737266
487,3nqm_ligand_7,37.465007981337294
488,5j9f_ligand_3,22.92654229326786
489,1lqf_ligand_4,56.95614279122617
490,3kcg_ligand_9,33.05455070236374
491,4ize_ligand_1,11.079543669254566
492,4qeu_ligand_9,25.255450960139278
493,7krw_ligand_9,81.44691417832495
494,3v6l_ligand_8,21.598024450779533
495,1ak4_ligand_8,50.63868479381212
496,4rns_ligand_1,11.66981236089345
497,1dkx_ligand_4,23.11985614574624
498,3lq8_ligand_3,34.34965939403893
499,5i7x_ligand_9,20.792565802521196
500,6p1d_ligand_3,62.10075062014441
501,3np0_ligand_8,32.048867312277984
502,2e7l_ligand_4,24.46363422560904
503,1bx4_ligand_8,15.901965727544503
504,4xmu_ligand_1,27.7661794171298
505,4uru_ligand_1,17.813103493008498
506,5y9f_ligand_8,112.62790402287244
507,1hl8_ligand_6,40.1595979349161
508,5isp_ligand_5,5.592323259612234
509,4jl2_ligand_8,81.380651169673
510,5mj5_ligand_7,15.958714895956842
511,2b6t_ligand_4,13.943607452879617
512,2qxl_ligand_1,24.435098219569323
513,5e8f_ligand_8,59.90654899075575
514,3d7z_ligand_5,25.045704244155605
515,7e7u_ligand_8,53.206085380652965
516,2os5_ligand_3,13.823781103591013
517,1bzh_ligand_6,28.01254484155269
518,5wp3_ligand_7,36.324201887309236
519,1iq5_ligand_5,28.78710450068456
520,5mtm_ligand_4,25.60166247961253
521,5fw8_ligand_3,29.218946371413796
522,4yru_ligand_8,52.211394087607246
523,1o73_ligand_5,21.63712513494487
524,4xii_ligand_7,68.21555207639206
525,4zdu_ligand_8,12.50292167234633
526,4gro_ligand_3,37.77122561081195
527,1kuf_ligand_4,7.823946673682763
528,4emt_ligand_2,28.69267068434028
529,1tcx_ligand_5,14.53644147498127
530,2cbi_ligand_4,69.65120827200343
531,3rvg_ligand_8,27.145352231818134
532,6vqo_ligand_1,57.20451619485088
533,2nmn_ligand_7,29.813396083787243
534,3ap4_ligand_8,58.051191680969346
535,6aa3_ligand_8,20.934801726630543
536,1os2_ligand_5,74.77181891492378
537,5ix0_ligand_5,67.91612266110442
538,4ygv_ligand_2,36.11746415482405
539,5wmd_ligand_8,7.060524143561735
540,4txc_ligand_7,26.111689237163148
541,3bht_ligand_9,73.26388023108763
542,2wvt_ligand_2,74.77016814512322
543,1wqp_ligand_8,22.41476642605107
544,4rpp_ligand_5,24.331286494278654
545,1uou_ligand_3,34.68847233736303
546,7nec_ligand_8,20.619207474942794
547,4wkc_ligand_7,29.634077623995655
548,1p2i_ligand_6,27.796754322222583
549,6ty5_ligand_5,54.826914825528114
550,2ag0_ligand_5,10.24353798975818
551,3qk1_ligand_9,18.891823414840083
552,3vsy_ligand_2,25.436617830731088
553,4lkm_ligand_3,42.347901433698404
554,3tt3_ligand_2,75.18151301773837
555,5lcj_ligand_7,29.353136224747285
556,4mum_ligand_3,30.253137151091597
557,5uxf_ligand_5,24.43135794138345
558,3cso_ligand_3,63.26828617015867
559,3fhx_ligand_1,48.381405162520856
560,3e0b_ligand_7,24.545246683534383
561,4go9_ligand_9,104.12375776449869
562,3w8k_ligand_4,25.345689295552145
563,1t8n_ligand_1,29.9582123331817
564,7jvv_ligand_7,18.472695377773107
565,5uy8_ligand_1,52.10408363931619
566,2pyn_ligand_3,18.831391650350458
567,2ojg_ligand_8,28.060988108556895
568,4tta_ligand_6,58.33747512891406
569,5aad_ligand_3,29.205349213900565
570,5tq3_ligand_8,64.22783273997095
571,1tsh_ligand_3,11.815062756686672
572,3su2_ligand_6,10.98289516296656
573,4iz5_ligand_1,28.955761127228946
574,1jyd_ligand_6,22.98542268086845
575,4qpc_ligand_4,17.094247234084335
576,7c3n_ligand_4,26.749010962057564
577,3nqm_ligand_5,34.9743162954379
578,1ttc_ligand_5,27.331258744440504
579,2hfp_ligand_4,27.907126053811655
580,3shi_ligand_6,49.48537193227774
581,2op9_ligand_2,36.8210908250347
582,3ds9_ligand_6,21.103673333772285
583,1a4g_ligand_9,63.27969386580501
584,1q6j_ligand_3,34.78924321744952
585,3veq_ligand_3,13.076744680443218
586,6l0z_ligand_1,13.40612065628411
587,1h9q_ligand_8,25.471014200459315
588,5z7m_ligand_3,7.4194742956310185
589,4pum_ligand_3,31.336876937563517
590,5ts8_ligand_2,35.315585877555534
591,4ly9_ligand_8,39.07902538702827
592,4bbx_ligand_3,32.39523213613149
593,5lhb_ligand_5,34.70235859251819
594,3qrj_ligand_8,35.417692470477704
595,5jmy_ligand_9,57.005995750580055
596,3eko_ligand_4,29.767735348024043
597,3rsk_ligand_4,22.86922774368633
598,2giq_ligand_5,32.89110481435811
599,3rbu_ligand_9,44.513552138646496
600,1cva_ligand_1,25.146624652558575
601,2yi0_ligand_1,20.44209883630674
602,4hbw_ligand_5,5.795066616606671
603,2wn9_ligand_8,28.905447597511788
604,5iis_ligand_2,5.9309562669100835
605,1ywv_ligand_3,32.665565331094456
606,3mvj_ligand_5,18.829157739489343
607,5j95_ligand_5,44.31745674774485
608,4i9s_ligand_8,22.580576514579278
609,5i56_ligand_5,26.088620130388122
610,1a9o_ligand_1,34.65588913184192
611,2dqt_ligand_4,41.41871216008533
612,4xjt_ligand_4,21.715168420236367
613,2grc_ligand_1,25.162115124958074
614,5h13_ligand_2,29.378420141794177
615,4b5w_ligand_2,57.6923095011062
616,2g8d_ligand_3,25.475919329473044
617,4bi5_ligand_6,99.633223473788
618,5okf_ligand_2,60.235001706699244
619,1eb1_ligand_8,11.35957637369592
620,7op7_ligand_9,26.43588664563269
621,3siz_ligand_8,41.43507682256263
622,3f0b_ligand_6,25.591718369034933
623,4ptm_ligand_4,33.1210779367506
624,1khj_ligand_9,51.192135845543426
625,7k2l_ligand_9,22.452241488431365
626,4ht2_ligand_9,31.003239166899967
627,1ozm_ligand_3,27.884930781952566
628,1lkk_ligand_2,13.367164844498626
629,5i9u_ligand_7,38.2978726329613
630,3mh2_ligand_5,38.513008191296315
631,4gr8_ligand_1,26.482263962692905
632,3khu_ligand_8,52.279136196478994
633,4o1a_ligand_5,33.67541514563361
634,6ioc_ligand_9,7.937204715767384
635,1cw3_ligand_6,82.28749229952535
636,5dfb_ligand_1,20.004061668404578
637,3h72_ligand_3,55.91646036275902
638,3gu8_ligand_2,25.359020281477036
639,5j19_ligand_8,22.915177240974902
640,6jaz_ligand_5,25.213960832661094
641,5z0b_ligand_8,49.67575485550557
642,2nqz_ligand_2,31.207888360385518
643,5esb_ligand_3,30.478891160815824
644,2zeb_ligand_3,51.003206022909815
645,2jez_ligand_6,74.87186105850206
646,7dvp_ligand_5,52.33994001368709
647,2ef1_ligand_3,69.90435469405541
648,1cak_ligand_2,5.892536534676726
649,5yj8_ligand_8,22.815259955203874
650,5kiy_ligand_4,38.81251918124414
651,3zr9_ligand_2,3.6003827410919715
652,6mgz_ligand_7,31.00410452903065
653,1c0t_ligand_4,47.923372871700096
654,3m3f_ligand_1,25.811011220223943
655,2rd0_ligand_9,51.75624286559545
656,3k38_ligand_9,152.67840538223635
657,7ll4_ligand_9,4.33043032989855
658,1kiu_ligand_2,64.57401938086247
659,1eo2_ligand_8,30.94624183595208
660,5law_ligand_3,6.801988599982046
661,6saz_ligand_2,66.55098809803324
662,3fvy_ligand_6,35.20320847872291
663,3pmt_ligand_6,8.800019130995247
664,1and_ligand_8,26.38213284227968
665,6uzg_ligand_8,11.922153448356294
666,4nhh_ligand_6,148.19800451365904
667,6j9w_ligand_2,25.002685560271452
668,1v1j_ligand_7,65.63226956069323
669,1btp_ligand_2,25.759538883683458
670,6pqi_ligand_5,93.12013254661959
671,4qg9_ligand_5,58.86889691396185
672,1l24_ligand_6,14.139475566148636
673,5eg8_ligand_1,16.971681907642314
